num_episodes,R_avg_tot,R_avg_curr
702,-0.254980981349945,tensor(0.1417)
4033,-7.94882345199585,tensor(0.7081)
11018,-9.28862190246582,tensor(0.7904)
16031,-9.319169998168944,tensor(0.8156)
29030,-9.228028297424316,tensor(0.8215)
38026,-8.808206558227539,tensor(0.8080)
42004,-9.476306915283203,tensor(0.8148)
47034,-10.263858795166016,tensor(0.8057)
699,0.2737851738929748,tensor(0.2164)
10030,0.4868955910205841,tensor(0.6789)
23022,0.5226689577102661,tensor(0.7628)
501,0.1851154267787933,tensor(0.1809)
996,0.1753378957509994,tensor(0.2604)
2015,0.4135210216045379,tensor(0.4607)
3040,-0.9157138466835022,tensor(0.6289)
4027,-2.4198927879333496,tensor(0.6826)
5029,-1.394047498703003,tensor(0.6767)
22000,-0.8869583010673523,tensor(0.8229)
23038,-0.8551692366600037,tensor(0.8085)
505,0.1018254160881042,tensor(0.1269)
1023,0.1580547541379928,tensor(0.1684)
15864,0.5191892981529236,tensor(0.6823)
16393,0.5235636234283447,tensor(0.7434)
