num_episodes,R_avg_tot,R_avg_curr
522,-0.7720986604690552,tensor(0.1697)
1032,-0.8851715922355652,tensor(0.2582)
11031,-10.934643745422363,tensor(0.6335)
27012,-5.902492046356201,tensor(0.6458)
35664,-11.512697219848633,tensor(0.6390)
36200,-4.8556413650512695,tensor(0.6603)
513,0.2119166553020477,tensor(0.1911)
1037,0.1815544068813324,tensor(0.2578)
1565,-0.2921501100063324,tensor(0.3301)
525,0.1425189822912216,tensor(0.1394)
1049,0.2339547425508499,tensor(0.1728)
1576,0.2235117107629776,tensor(0.2316)
2094,0.2562677264213562,tensor(0.3076)
