num_episodes,R_avg_tot,R_avg_curr
328,0.0877795293927192,tensor(0.0936)
652,0.090758316218853,tensor(0.0957)
975,0.0824350416660308,tensor(0.0989)
9011,0.1763985008001327,tensor(0.2414)
10014,0.1940207332372665,tensor(0.2531)
12023,0.2072588950395584,tensor(0.3118)
17007,0.2722876667976379,tensor(0.4078)
31029,0.394253671169281,tensor(0.5477)
34016,0.3894990384578705,tensor(0.5809)
35031,0.3804273605346679,tensor(0.5783)
36016,0.4039752781391144,tensor(0.5890)
37043,0.3945972323417663,tensor(0.5702)
41042,0.382333368062973,tensor(0.6513)
46019,0.4190231561660766,tensor(0.7234)
48048,0.4246123433113098,tensor(0.7244)
51047,0.4136186838150024,tensor(0.7096)
54031,0.4138918220996856,tensor(0.7146)
55027,0.3903870284557342,tensor(0.7257)
58003,0.4087871313095093,tensor(0.7111)
67017,0.3980500400066376,tensor(0.7317)
68049,0.4297647774219513,tensor(0.7329)
78043,0.4083273112773895,tensor(0.7315)
81015,0.411181777715683,tensor(0.7182)
82018,0.4124455153942108,tensor(0.7113)
85010,0.4061282873153686,tensor(0.7156)
90016,0.3850948214530945,tensor(0.7191)
93021,0.4043615460395813,tensor(0.7150)
106020,0.4157831072807312,tensor(0.7242)
107011,0.4247865080833435,tensor(0.7232)
109034,0.4133901596069336,tensor(0.7210)
112011,0.4036247134208679,tensor(0.7188)
117012,0.4054462015628814,tensor(0.7113)
127016,0.4151201248168945,tensor(0.7262)
134008,0.4257330894470215,tensor(0.7222)
135008,0.405638039112091,tensor(0.7187)
136017,0.3963611423969269,tensor(0.7224)
138039,0.4174219667911529,tensor(0.7251)
144019,0.410668283700943,tensor(0.7169)
147045,0.4031063914299011,tensor(0.7246)
160005,0.4093451499938965,tensor(0.7166)
