num_episodes,R_avg_tot,R_avg_curr
377,0.0903651639819145,tensor(0.1200)
769,0.1063942611217498,tensor(0.1165)
5010,0.1254722774028778,tensor(0.1877)
12044,0.2038138061761856,tensor(0.3626)
13046,0.2292939722537994,tensor(0.3894)
14038,0.2322041094303131,tensor(0.4141)
23015,0.3050267994403839,tensor(0.6087)
35010,0.315038114786148,tensor(0.7447)
37038,0.3428570330142975,tensor(0.7469)
46002,0.3469438850879669,tensor(0.7538)
47022,0.3510349690914154,tensor(0.7625)
50022,0.3393433690071106,tensor(0.7515)
50269,0.3563804924488067,tensor(0.7472)
50873,0.36118435859680176,tensor(0.7531)
