num_episodes,R_avg_tot,R_avg_curr
368,0.0864019393920898,tensor(0.0953)
733,0.0832297131419181,tensor(0.1045)
4023,0.1444401293992996,tensor(0.1463)
5049,0.1395025998353958,tensor(0.1685)
14044,0.2262365072965622,tensor(0.3636)
17046,0.2467190325260162,tensor(0.3984)
22024,0.283444732427597,tensor(0.4796)
24030,0.3256737887859344,tensor(0.5146)
24458,0.313168853521347,tensor(0.5039)
25005,0.3199657499790191,tensor(0.5102)
26032,0.341764748096466,tensor(0.5186)
34043,0.3483749032020569,tensor(0.5765)
35040,0.3687407672405243,tensor(0.5822)
36013,0.3608207702636719,tensor(0.5886)
38032,0.3707054257392883,tensor(0.5895)
39018,0.3631540238857269,tensor(0.5859)
40025,0.3663588166236877,tensor(0.5898)
42031,0.3633345067501068,tensor(0.5997)
43034,0.36186283826828,tensor(0.5945)
44011,0.3478663265705108,tensor(0.5907)
45003,0.3676230311393738,tensor(0.6033)
46042,0.3648606538772583,tensor(0.5970)
50015,0.3671118319034576,tensor(0.6023)
53039,0.3596954047679901,tensor(0.6136)
58031,0.3575989902019501,tensor(0.5974)
59002,0.3666285276412964,tensor(0.6025)
60003,0.3637906610965729,tensor(0.5969)
62012,0.3561536073684692,tensor(0.6074)
64023,0.3723182380199432,tensor(0.6016)
72002,0.3760553896427154,tensor(0.7350)
74004,0.3637957274913788,tensor(0.7429)
90030,0.3665058612823486,tensor(0.7504)
94038,0.3773943185806274,tensor(0.7511)
96003,0.3795069456100464,tensor(0.7475)
97006,0.3658528327941894,tensor(0.7490)
110276,0.37124744057655334,tensor(0.7561)
