num_episodes,R_avg_tot,R_avg_curr
373,0.0517924427986145,tensor(0.1919)
407,0.0727098733186721,tensor(0.2135)
737,0.0641828328371048,tensor(0.2027)
773,0.0556933730840683,tensor(0.2138)
3000,0.062294777482748,tensor(0.2610)
5908,0.0420010238885879,tensor(0.2676)
7018,0.0461023598909378,tensor(0.2927)
8014,0.0547009967267513,tensor(0.3209)
8043,0.0611104816198349,tensor(0.3207)
11035,0.0474633127450943,tensor(0.3660)
12025,0.0531581602990627,tensor(0.4017)
13004,0.0465192832052707,tensor(0.3859)
13036,0.0391856133937835,tensor(0.3852)
14011,0.0477590300142765,tensor(0.3523)
14040,0.044939287006855,tensor(0.3540)
15015,0.0429278425872325,tensor(0.3509)
16035,0.0490262135863304,tensor(0.3761)
17013,0.0370293632149696,tensor(0.3982)
18005,0.0503176860511302,tensor(0.4026)
18043,0.0412457920610904,tensor(0.4067)
19003,0.0444984100759029,tensor(0.4159)
19043,0.0456148386001586,tensor(0.4164)
19907,0.04370074346661568,tensor(0.3998)
