num_episodes,R_avg_tot,R_avg_curr
22,0.0611422844231128,tensor(0.2324)
276,0.0553993918001651,tensor(0.1509)
306,0.0500842966139316,tensor(0.1627)
564,0.0497347153723239,tensor(0.1704)
578,0.058021456003189,tensor(0.1676)
855,0.0601702630519866,tensor(0.1687)
888,0.0552119649946689,tensor(0.1790)
2002,0.0562144070863723,tensor(0.1965)
3001,0.0527419485151767,tensor(0.2112)
3028,0.0442061014473438,tensor(0.2144)
4020,0.0617914162576198,tensor(0.2308)
4045,0.0423657335340976,tensor(0.2299)
9034,0.04457298293709755,tensor(0.2479)
