num_episodes,R_avg,n_examples
0.0,0.004050000105053186,4.0
1.0,0.00834750011563301,4.0
2.0,0.05743012577295303,4.0
3.0,0.059058621525764465,4.0
4.0,0.06060568988323212,4.0
5.0,0.062075406312942505,4.0
6.0,0.06347163766622543,4.0
7.0,0.06479805707931519,4.0
8.0,0.06605815142393112,4.0
9.0,0.06725524365901947,4.0
10.0,0.06717298179864883,4.0
11.0,0.0683143362402916,4.0
12.0,0.06939861923456192,4.0
13.0,0.06920918822288513,4.0
14.0,0.06979873031377792,4.0
15.0,0.0699537992477417,4.0
16.0,0.11595611274242401,4.0
17.0,0.15470831096172333,4.0
18.0,0.15147289633750916,4.0
19.0,0.1471797525882721,4.0
20.0,0.1434657722711563,4.0
21.0,0.14079248905181885,4.0
22.0,0.18325287103652954,4.0
23.0,0.17859022319316864,4.0
24.0,0.21916072070598602,4.0
25.0,0.2114831805229187,4.0
26.0,0.20540902018547058,4.0
27.0,0.1977957785129547,4.0
28.0,0.19240598380565643,4.0
29.0,0.1872856765985489,4.0
30.0,0.18242138624191284,4.0
31.0,0.17780031263828278,4.0
32.0,0.1734102964401245,4.0
33.0,0.16838477551937103,4.0
34.0,0.16291798651218414,4.0
35.0,0.15841709077358246,4.0
36.0,0.1999962329864502,4.0
37.0,0.23949642479419708,4.0
38.0,0.23157159984111786,4.0
39.0,0.2694930136203766,4.0
40.0,0.2605183720588684,4.0
41.0,0.25199243426322937,4.0
42.0,0.24344280362129211,4.0
43.0,0.23532065749168396,4.0
44.0,0.22805462777614594,4.0
45.0,0.26615187525749207,4.0
46.0,0.30234426259994507,4.0
47.0,0.2917270362377167,4.0
48.0,0.2807856798171997,4.0
49.0,0.27124640345573425,4.0
50.0,0.2621840834617615,4.0
51.0,0.2527198791503906,4.0
52.0,0.2437288910150528,4.0
53.0,0.2810424268245697,4.0
54.0,0.27027079463005066,4.0
55.0,0.26125726103782654,4.0
56.0,0.25224438309669495,4.0
57.0,0.2441321611404419,4.0
58.0,0.2814255356788635,4.0
59.0,0.2718542516231537,4.0
60.0,0.26276153326034546,4.0
61.0,0.2541234493255615,4.0
62.0,0.24546727538108826,4.0
63.0,0.2376939058303833,4.0
64.0,0.26189470291137695,4.0
65.0,0.2532999515533447,4.0
66.0,0.24513494968414307,4.0
67.0,0.23692819476127625,4.0
68.0,0.2291317880153656,4.0
69.0,0.26717519760131836,4.0
70.0,0.25831642746925354,4.0
71.0,0.2949005961418152,4.0
72.0,0.28380057215690613,4.0
73.0,0.30970555543899536,4.0
74.0,0.29872027039527893,4.0
75.0,0.2882842421531677,4.0
76.0,0.2783700227737427,4.0
77.0,0.26895150542259216,4.0
78.0,0.30500391125679016,4.0
79.0,0.29380369186401367,4.0
80.0,0.28361350297927856,4.0
81.0,0.2730778157711029,4.0
82.0,0.26347389817237854,4.0
83.0,0.2548002004623413,4.0
84.0,0.24611018598079681,4.0
85.0,0.23830467462539673,4.0
86.0,0.2304394394159317,4.0
87.0,0.2634674608707428,4.0
88.0,0.25393909215927124,4.0
89.0,0.24529214203357697,4.0
90.0,0.2775775194168091,4.0
91.0,0.26635584235191345,4.0
92.0,0.297588050365448,4.0
93.0,0.33220863342285156,4.0
94.0,0.3200981914997101,4.0
95.0,0.3486432731151581,4.0
96.0,0.3348561227321625,4.0
97.0,0.32139381766319275,4.0
98.0,0.3093741238117218,4.0
99.0,0.3384554088115692,4.0
100.0,0.37103262543678284,4.0
101.0,0.35698097944259644,4.0
102.0,0.34363192319869995,4.0
103.0,0.37595030665397644,4.0
104.0,0.36120277643203735,4.0
105.0,0.3471926152706146,4.0
106.0,0.33433297276496887,4.0
107.0,0.36216631531715393,4.0
108.0,0.34701046347618103,4.0
109.0,0.3333049416542053,4.0
110.0,0.32068967819213867,4.0
111.0,0.3079356849193573,4.0
112.0,0.2970389127731323,4.0
113.0,0.2866869568824768,4.0
114.0,0.32185259461402893,4.0
115.0,0.31025996804237366,4.0
116.0,0.29879695177078247,4.0
117.0,0.28835710883140564,4.0
118.0,0.2779892385005951,4.0
119.0,0.2685897648334503,4.0
120.0,0.2596602737903595,4.0
121.0,0.2867722511291504,4.0
122.0,0.2750908434391022,4.0
