num_episodes,R_avg,n_examples
0.0,0.0044999998062849045,11.0
1.0,0.008774999529123306,11.0
2.0,0.012408750131726265,11.0
3.0,0.015251061879098415,11.0
4.0,0.01853850856423378,11.0
5.0,0.02211158350110054,11.0
6.0,0.02528100460767746,11.0
7.0,0.028089454397559166,11.0
8.0,0.030959980562329292,11.0
9.0,0.03391198068857193,11.0
10.0,0.03671637922525406,11.0
11.0,0.08438055962324142,11.0
12.0,0.08443653583526611,11.0
13.0,0.08471471071243286,11.0
14.0,0.08497897535562515,11.0
15.0,0.0852300301194191,11.0
16.0,0.08524353057146072,11.0
17.0,0.08548135310411453,11.0
18.0,0.08570728451013565,11.0
19.0,0.08592192083597183,11.0
20.0,0.08590082824230194,11.0
21.0,0.08610578626394272,11.0
22.0,0.08564800024032593,11.0
23.0,0.08586560189723969,11.0
24.0,0.08562232553958893,11.0
25.0,0.08584120869636536,11.0
26.0,0.0858241468667984,11.0
27.0,0.08519819378852844,11.0
28.0,0.08521328121423721,11.0
29.0,0.0848001167178154,11.0
30.0,0.08483511209487915,11.0
31.0,0.08509335666894913,11.0
32.0,0.08533868938684464,11.0
33.0,0.08473700284957886,11.0
34.0,0.13000014424324036,11.0
35.0,0.1275501400232315,11.0
36.0,0.12544763088226318,11.0
37.0,0.12367524951696396,11.0
38.0,0.12113648653030396,11.0
39.0,0.11957966536283493,11.0
40.0,0.11787568032741547,11.0
41.0,0.11562690138816833,11.0
42.0,0.11265038698911667,11.0
43.0,0.11151786893606186,11.0
44.0,0.10978947579860687,11.0
45.0,0.10802622139453888,11.0
46.0,0.10689990967512131,11.0
47.0,0.10605491697788239,11.0
48.0,0.10502716898918152,11.0
49.0,0.10405080765485764,11.0
50.0,0.10152023285627365,11.0
51.0,0.10094422101974487,11.0
52.0,0.14539700746536255,11.0
53.0,0.14219965040683746,11.0
54.0,0.13958966732025146,11.0
55.0,0.13711018860340118,11.0
56.0,0.17975467443466187,11.0
57.0,0.17483943700790405,11.0
58.0,0.16937796771526337,11.0
59.0,0.16540907323360443,11.0
60.0,0.2066386193037033,11.0
61.0,0.20080669224262238,11.0
62.0,0.19504134356975555,11.0
63.0,0.189789280295372,11.0
64.0,0.18479982018470764,11.0
65.0,0.18005983531475067,11.0
66.0,0.17490433156490326,11.0
67.0,0.21565911173820496,11.0
68.0,0.20937615633010864,11.0
69.0,0.20340734720230103,11.0
70.0,0.1975119709968567,11.0
71.0,0.19168637692928314,11.0
72.0,0.23160205781459808,11.0
73.0,0.2245219498872757,11.0
74.0,0.21779584884643555,11.0
75.0,0.21118104457855225,11.0
76.0,0.25012198090553284,11.0
77.0,0.2871158719062805,11.0
78.0,0.27726006507873535,11.0
79.0,0.2678970694541931,11.0
80.0,0.2587772011756897,11.0
81.0,0.2501133382320404,11.0
82.0,0.24145516753196716,11.0
83.0,0.2788824141025543,11.0
84.0,0.2689882814884186,11.0
85.0,0.2596113383769989,11.0
86.0,0.2509057819843292,11.0
87.0,0.24286049604415894,11.0
88.0,0.23456496000289917,11.0
89.0,0.22668419778347015,11.0
90.0,0.264849990606308,11.0
91.0,0.3011074662208557,11.0
92.0,0.2903270721435547,11.0
93.0,0.2798832058906555,11.0
94.0,0.27016404271125793,11.0
95.0,0.260503351688385,11.0
96.0,0.25152817368507385,11.0
97.0,0.24302425980567932,11.0
98.0,0.23537304997444153,11.0
99.0,0.2281043976545334,11.0
100.0,0.22042539715766907,11.0
101.0,0.21367911994457245,11.0
102.0,0.20704516768455505,11.0
103.0,0.19921725988388062,11.0
104.0,0.19375640153884888,11.0
105.0,0.18791607022285461,11.0
106.0,0.182165265083313,11.0
107.0,0.1765197515487671,11.0
108.0,0.21719376742839813,11.0
109.0,0.2106090635061264,11.0
110.0,0.20457860827445984,11.0
111.0,0.19884967803955078,11.0
112.0,0.19255219399929047,11.0
113.0,0.23242458701133728,11.0
114.0,0.270303338766098,11.0
115.0,0.2612881660461426,11.0
116.0,0.252723753452301,11.0
117.0,0.24393506348133087,11.0
118.0,0.23562856018543243,11.0
119.0,0.22834713757038116,11.0
120.0,0.22120477259159088,11.0
121.0,0.21421703696250916,11.0
122.0,0.20800618827342987,11.0
123.0,0.20062412321567535,11.0
124.0,0.19509291648864746,11.0
125.0,0.23011326789855957,11.0
126.0,0.22268010675907135,11.0
127.0,0.21527232229709625,11.0
128.0,0.20900870859622955,11.0
129.0,0.2480582743883133,11.0
130.0,0.24015535414218903,11.0
131.0,0.23222008347511292,11.0
132.0,0.22510908544063568,11.0
133.0,0.21835362911224365,11.0
134.0,0.21171094477176666,11.0
135.0,0.20540039241313934,11.0
136.0,0.19918036460876465,11.0
137.0,0.2293163388967514,11.0
