num_episodes,R_avg,n_examples
0.0,0.004050000105053186,8.0
1.0,0.007897499948740005,8.0
2.0,0.01114762481302023,8.0
3.0,0.05514024570584297,8.0
4.0,0.05584598332643509,8.0
5.0,0.057328686118125916,8.0
6.0,0.05851225182414055,8.0
7.0,0.059636641293764114,8.0
8.0,0.061154805123806,8.0
9.0,0.06075426936149597,8.0
10.0,0.06156405434012413,8.0
11.0,0.0629858523607254,8.0
12.0,0.06433656066656113,8.0
13.0,0.06516972929239273,8.0
14.0,0.11141124367713928,8.0
15.0,0.11034068465232849,8.0
16.0,0.1086711511015892,8.0
17.0,0.10773759335279465,8.0
18.0,0.10662571340799332,8.0
19.0,0.10579442977905273,8.0
20.0,0.1050047054886818,8.0
21.0,0.10425446927547455,8.0
22.0,0.14854174852371216,8.0
23.0,0.1456146538257599,8.0
24.0,0.1426089107990265,8.0
25.0,0.18497847020626068,8.0
26.0,0.17957703769207,8.0
27.0,0.17509818077087402,8.0
28.0,0.17084327340126038,8.0
29.0,0.1665761023759842,8.0
30.0,0.16252228617668152,8.0
31.0,0.15889617800712585,8.0
32.0,0.1548416167497635,8.0
33.0,0.15159954130649567,8.0
34.0,0.1480695605278015,8.0
35.0,0.19016608595848083,8.0
36.0,0.18470777571201324,8.0
37.0,0.17974737286567688,8.0
38.0,0.1748100072145462,8.0
39.0,0.1703445017337799,8.0
40.0,0.16529002785682678,8.0
41.0,0.16130052506923676,8.0
42.0,0.15688049793243408,8.0
43.0,0.15353646874427795,8.0
44.0,0.1501346379518509,8.0
45.0,0.14635413885116577,8.0
46.0,0.14353643357753754,8.0
47.0,0.14043211936950684,8.0
48.0,0.13705551624298096,8.0
49.0,0.13470274209976196,8.0
50.0,0.1322425901889801,8.0
51.0,0.12990544736385345,8.0
52.0,0.12791016697883606,8.0
53.0,0.17101465165615082,8.0
54.0,0.16651391983032227,8.0
55.0,0.1624632179737091,8.0
56.0,0.15884006023406982,8.0
57.0,0.15474554896354675,8.0
58.0,0.15150827169418335,8.0
59.0,0.14798285067081451,8.0
60.0,0.1448587030172348,8.0
61.0,0.1421157717704773,8.0
62.0,0.13950997591018677,8.0
63.0,0.13680946826934814,8.0
64.0,0.17946898937225342,8.0
65.0,0.1747705340385437,8.0
66.0,0.21058200299739838,8.0
67.0,0.24460290372371674,8.0
68.0,0.2818727493286133,8.0
69.0,0.27182909846305847,8.0
70.0,0.2627376317977905,8.0
71.0,0.2534482479095459,8.0
72.0,0.2452758401632309,8.0
73.0,0.23728704452514648,8.0
74.0,0.22949519753456116,8.0
75.0,0.22252044081687927,8.0
76.0,0.215894415974617,8.0
77.0,0.20959968864917755,8.0
78.0,0.20361970365047455,8.0
79.0,0.1974887102842331,8.0
80.0,0.19125927984714508,8.0
81.0,0.18619631230831146,8.0
82.0,0.18138650059700012,8.0
83.0,0.1765921711921692,8.0
84.0,0.17226256430149078,8.0
85.0,0.21314944326877594,8.0
86.0,0.20633946359157562,8.0
87.0,0.20029747486114502,8.0
88.0,0.19478259980678558,8.0
89.0,0.1895434707403183,8.0
90.0,0.18413878977298737,8.0
91.0,0.17920684814453125,8.0
92.0,0.17370924353599548,8.0
93.0,0.16929876804351807,8.0
94.0,0.1653338223695755,8.0
95.0,0.20656713843345642,8.0
96.0,0.1995192915201187,8.0
97.0,0.19381831586360931,8.0
98.0,0.23362739384174347,8.0
