num_episodes,R_avg,n_examples
0.0,0.0044999998062849045,5.0
1.0,0.008324999362230301,5.0
2.0,0.01240874920040369,5.0
3.0,0.06128831207752228,5.0
4.0,0.06227389723062515,5.0
5.0,0.06321020424365997,5.0
6.0,0.06409969180822372,5.0
7.0,0.06453970819711685,5.0
8.0,0.06536272168159485,5.0
9.0,0.06659458577632904,5.0
10.0,0.11276485025882721,5.0
11.0,0.11162661015987396,5.0
12.0,0.11054527759552002,5.0
13.0,0.1545180082321167,5.0
14.0,0.1508421003818512,5.0
15.0,0.19280000030994415,5.0
16.0,0.22770999372005463,5.0
17.0,0.2208244949579239,5.0
18.0,0.2142832726240158,5.0
19.0,0.2072141021490097,5.0
20.0,0.20090340077877045,5.0
21.0,0.19413873553276062,5.0
22.0,0.18893179297447205,5.0
23.0,0.18353520333766937,5.0
24.0,0.1788584440946579,5.0
25.0,0.21941553056240082,5.0
26.0,0.21294474601745605,5.0
27.0,0.25179749727249146,5.0
28.0,0.24325762689113617,5.0
29.0,0.2355947494506836,5.0
30.0,0.22786501049995422,5.0
31.0,0.26597175002098083,5.0
32.0,0.2571731507778168,5.0
33.0,0.24881449341773987,5.0
34.0,0.2809237837791443,5.0
35.0,0.2713775932788849,5.0
36.0,0.2610892057418823,5.0
37.0,0.25253474712371826,5.0
38.0,0.2444080114364624,5.0
39.0,0.23668761551380157,5.0
40.0,0.22935323417186737,5.0
41.0,0.22238557040691376,5.0
42.0,0.21365778148174286,5.0
43.0,0.20747488737106323,5.0
44.0,0.20115114748477936,5.0
45.0,0.19559359550476074,5.0
46.0,0.190313920378685,5.0
47.0,0.18529821932315826,5.0
48.0,0.22553330659866333,5.0
49.0,0.21753714978694916,5.0
50.0,0.25616028904914856,5.0
51.0,0.2928522527217865,5.0
52.0,0.32275962829589844,5.0
53.0,0.3106716275215149,5.0
54.0,0.299638032913208,5.0
55.0,0.2870476245880127,5.0
56.0,0.32219523191452026,5.0
57.0,0.31058546900749207,5.0
58.0,0.2995561957359314,5.0
59.0,0.28822338581085205,5.0
60.0,0.27745720744132996,5.0
61.0,0.2680843472480774,5.0
62.0,0.25918012857437134,5.0
63.0,0.2957211136817932,5.0
64.0,0.2854350507259369,5.0
65.0,0.275663286447525,5.0
66.0,0.26516062021255493,5.0
67.0,0.2559525668621063,5.0
68.0,0.24610738456249237,5.0
69.0,0.23744700849056244,5.0
70.0,0.2300746589899063,5.0
71.0,0.26807090640068054,5.0
72.0,0.2591673731803894,5.0
73.0,0.25070899724960327,5.0
74.0,0.24267354607582092,5.0
75.0,0.2350398749113083,5.0
76.0,0.272787868976593,5.0
77.0,0.26319846510887146,5.0
78.0,0.25453853607177734,5.0
79.0,0.24545660614967346,5.0
80.0,0.2368287742137909,5.0
81.0,0.2290373295545578,5.0
82.0,0.22163546085357666,5.0
83.0,0.26005369424819946,5.0
84.0,0.296550989151001,5.0
85.0,0.286223441362381,5.0
86.0,0.2759622633457184,5.0
87.0,0.26621413230895996,5.0
88.0,0.2569534182548523,5.0
89.0,0.24860574305057526,5.0
90.0,0.2406754493713379,5.0
91.0,0.2331416755914688,5.0
92.0,0.27098459005355835,5.0
93.0,0.2607158422470093,5.0
94.0,0.29718005657196045,5.0
95.0,0.28637102246284485,5.0
96.0,0.30128172039985657,5.0
97.0,0.28949812054634094,5.0
98.0,0.27952322363853455,5.0
99.0,0.27004706859588623,5.0
100.0,0.2610447108745575,5.0
101.0,0.251272976398468,5.0
102.0,0.2427593320608139,5.0
103.0,0.23512136936187744,5.0
104.0,0.2278652936220169,5.0
105.0,0.22011703252792358,5.0
106.0,0.2131611853837967,5.0
107.0,0.25200313329696655,5.0
108.0,0.27949798107147217,5.0
109.0,0.27002307772636414,5.0
110.0,0.2610219120979309,5.0
