num_episodes,R_avg,n_examples
0.0,0.0044999998062849045,6.0
1.0,0.008774999529123306,6.0
2.0,0.011981249786913395,6.0
3.0,0.015027186833322048,6.0
4.0,0.017941076308488846,6.0
5.0,0.020689021795988083,6.0
6.0,0.02415456995368004,6.0
7.0,0.02699684165418148,6.0
8.0,0.030146999284625053,6.0
9.0,0.03192014992237091,6.0
10.0,0.034599144011735916,6.0
11.0,0.03736918419599533,6.0
12.0,0.04000072181224823,6.0
13.0,0.042500682175159454,6.0
14.0,0.04487564414739609,6.0
15.0,0.04713185876607895,6.0
16.0,0.04927526414394379,6.0
17.0,0.05131150037050247,6.0
18.0,0.05324592441320419,6.0
19.0,0.05508362501859665,6.0
20.0,0.05682944506406784,6.0
21.0,0.05720871314406395,6.0
22.0,0.058195773512125015,6.0
23.0,0.059785984456539154,6.0
24.0,0.06129668653011322,6.0
25.0,0.10773184895515442,6.0
26.0,0.10684525966644287,6.0
27.0,0.10600299388170242,6.0
28.0,0.10459309816360474,6.0
29.0,0.1038634404540062,6.0
30.0,0.10317026823759079,6.0
31.0,0.10206175595521927,6.0
32.0,0.10060366988182068,6.0
33.0,0.13566848635673523,6.0
34.0,0.1329575628042221,6.0
35.0,0.13019992411136627,6.0
36.0,0.12773992121219635,6.0
37.0,0.12585292756557465,6.0
38.0,0.12361028045415878,6.0
39.0,0.12170476466417313,6.0
40.0,0.11890002340078354,6.0
41.0,0.11668124049901962,6.0
42.0,0.15094217658042908,6.0
43.0,0.1460522711277008,6.0
44.0,0.1788446605205536,6.0
45.0,0.17440243065357208,6.0
46.0,0.1692609041929245,6.0
47.0,0.16464535892009735,6.0
48.0,0.16068808734416962,6.0
49.0,0.1571536809206009,6.0
50.0,0.1537960022687912,6.0
51.0,0.1506062000989914,6.0
52.0,0.14635638892650604,6.0
53.0,0.14231906831264496,6.0
54.0,0.13970310986042023,6.0
55.0,0.13583442568778992,6.0
56.0,0.13199515640735626,6.0
57.0,0.1294454038143158,6.0
58.0,0.1274731308221817,6.0
59.0,0.12514947354793549,6.0
60.0,0.1233920007944107,6.0
61.0,0.12172240018844604,6.0
62.0,0.12013628333806992,6.0
63.0,0.11862947046756744,6.0
64.0,0.11634299904108047,6.0
65.0,0.11364232003688812,6.0
66.0,0.11246020346879959,6.0
67.0,0.11048219352960587,6.0
68.0,0.1094580814242363,6.0
69.0,0.15348517894744873,6.0
70.0,0.1498834192752838,6.0
71.0,0.14643925428390503,6.0
72.0,0.14361728727817535,6.0
73.0,0.14071141183376312,6.0
74.0,0.1377258449792862,6.0
75.0,0.13533955812454224,6.0
76.0,0.13264508545398712,6.0
77.0,0.13051283359527588,6.0
78.0,0.12803718447685242,6.0
79.0,0.12548282742500305,6.0
80.0,0.1687086820602417,6.0
81.0,0.16477324068546295,6.0
82.0,0.16003580391407013,6.0
83.0,0.1559242606163025,6.0
84.0,0.15140855312347412,6.0
85.0,0.14833812415599823,6.0
86.0,0.1904212236404419,6.0
