num_episodes,R_avg,n_examples
0.0,0.0032804999500513,2.0
1.0,0.0076164747588336,2.0
2.0,0.0112856514751911,2.0
3.0,0.0143663687631487,2.0
4.0,0.017698049545288,2.0
5.0,0.0213131457567214,2.0
6.0,0.0247474871575832,2.0
7.0,0.0271551124751567,2.0
8.0,0.0618828535079956,2.0
9.0,0.0624337084591388,2.0
10.0,0.0638120248913765,2.0
11.0,0.0642664209008216,2.0
12.0,0.0655530989170074,2.0
13.0,0.0667754411697387,2.0
14.0,0.0670816674828529,2.0
15.0,0.1082775816321373,2.0
16.0,0.1069137006998062,2.0
17.0,0.1056180149316787,2.0
18.0,0.1048371121287345,2.0
19.0,0.1040952578186988,2.0
20.0,0.1033904924988746,2.0
21.0,0.1018659695982933,2.0
22.0,0.1012726724147796,2.0
23.0,0.1002590358257293,2.0
24.0,0.0997460857033729,2.0
25.0,0.0992587804794311,2.0
26.0,0.0987958386540412,2.0
27.0,0.0971365422010421,2.0
28.0,0.0967797189950943,2.0
29.0,0.0952212288975715,2.0
30.0,0.0949601680040359,2.0
31.0,0.0942621603608131,2.0
32.0,0.0931940525770187,2.0
33.0,0.0930343493819236,2.0
34.0,0.0916631296277046,2.0
35.0,0.0907249748706817,2.0
36.0,0.0902387276291847,2.0
37.0,0.0890072882175445,2.0
38.0,0.0890569239854812,2.0
39.0,0.0886540785431861,2.0
40.0,0.1134506240487098,2.0
41.0,0.1523281037807464,2.0
42.0,0.1892617046833038,2.0
43.0,0.1842986196279525,2.0
44.0,0.1795836836099624,2.0
45.0,0.1742495000362396,2.0
46.0,0.169587031006813,2.0
47.0,0.1647526770830154,2.0
48.0,0.1601600497961044,2.0
49.0,0.1566520482301712,2.0
50.0,0.1528694480657577,2.0
51.0,0.1492759734392166,2.0
52.0,0.1458621770143509,2.0
53.0,0.1426190733909607,2.0
54.0,0.1391331255435943,2.0
55.0,0.1358214765787124,2.0
56.0,0.1335304081439972,2.0
57.0,0.131353884935379,2.0
58.0,0.1292861849069595,2.0
59.0,0.1273218691349029,2.0
60.0,0.125455766916275,2.0
61.0,0.1236829757690429,2.0
62.0,0.1211438253521919,2.0
63.0,0.1177438348531723,2.0
64.0,0.1155016422271728,2.0
65.0,0.1142265573143959,2.0
66.0,0.1130152270197868,2.0
67.0,0.1118644624948501,2.0
68.0,0.1107712388038635,2.0
69.0,0.1088776811957359,2.0
70.0,0.1070787981152534,2.0
