num_episodes,R_avg
416,0.1518399715423584
776,0.1351700127124786
1130,0.1602665185928344
1413,0.1721797883510589
1668,0.1855551451444625
1885,0.1910611540079116
2068,0.1573688238859176
2257,0.1924765408039093
2405,0.1565391272306442
2547,0.1731074750423431
2658,0.1745349764823913
379,0.1192447021603584
759,0.1546551883220672
1104,0.1717965453863144
1394,0.205097809433937
1654,0.1697334349155426
1894,0.1758351922035217
2115,0.1965743005275726
2277,0.1868312358856201
2488,0.1856182664632797
419,0.1488258242607116
815,0.12207593023777
1155,0.1742616444826126
1495,0.1668406426906585
1785,0.1599716991186142
2027,0.1802453845739364
2203,0.1604258269071579
2380,0.161598801612854
2499,0.1790857911109924
2647,0.1855407506227493
2771,0.1683615297079086
2899,0.1764616072177887
3023,0.1933336853981018
3123,0.1822145730257034
3192,0.1826988458633422
3269,0.1815874725580215
3371,0.1761947721242904
3457,0.1729350388050079
3497,0.1755896508693695
3564,0.1843081414699554
3635,0.178936555981636
3697,0.1809092909097671
3757,0.1631464213132858
3829,0.1868032664060592
3881,0.1713323444128036
3965,0.2028991878032684
4044,0.1779179722070694
4127,0.1715404242277145
4196,0.1734572201967239
4300,0.1843850463628769
4348,0.1822804510593414
4407,0.1780951023101806
4478,0.1832702159881591
4577,0.1633627861738205
4633,0.179211750626564
4687,0.1651847660541534
4818,0.1815797537565231
4861,0.171449065208435
4925,0.1585820764303207
5022,0.1760067343711853
5103,0.1065294295549392
5164,0.1840802580118179
5264,0.1844255924224853
5370,0.1792736202478408
5466,0.1765441298484802
5549,0.1703807860612869
5611,0.1697687953710556
5683,0.1855845600366592
5728,0.1813348084688186
5785,0.1810492426156997
5868,0.1836949735879898
5910,0.1880366504192352
5981,0.1717061251401901
6045,0.1909259557723999
6137,0.1800899356603622
6250,0.1828129291534423
6326,0.176015093922615
6426,0.1836331933736801
6560,0.1848849654197693
6614,0.1799119710922241
6680,0.183367371559143
6761,0.1810926645994186
6815,0.1761920750141143
6853,0.1773146688938141
6943,0.1798307001590728
7010,0.1722593903541565
7120,0.1785270869731903
7177,0.1757847219705581
7245,0.179621085524559
7343,0.1841450631618499
7454,0.1806586980819702
7541,0.1810348927974701
7617,0.1890161782503128
7684,0.1716154217720031
7762,0.1845346093177795
7827,0.1807305663824081
7923,0.1800400614738464
7979,0.183636799454689
8065,0.1584462225437164
8125,0.1801481693983078
8182,0.1798320710659027
8238,0.1732896119356155
8298,0.1834851950407028
8361,0.1816423833370208
8440,0.1704543530941009
8518,0.1806827336549759
8614,0.1802742183208465
8668,0.1780125945806503
8734,0.1825533509254455
8797,0.1831641346216201
8870,0.1796327233314514
8930,0.1830349117517471
9029,0.1832737773656845
9095,0.1739089041948318
9212,0.1901489496231079
9269,0.1796995401382446
9312,0.1898998320102691
9386,0.1870857626199722
9441,0.1726353615522384
9508,0.1748643070459365
9585,0.1787394881248474
9683,0.1722460687160492
9763,0.1767428666353225
9857,0.1837529242038726
9933,0.1759577542543411
10013,0.1763307005167007
10108,0.1809073537588119
10171,0.180324450135231
10291,0.1797352731227874
10398,0.1907325536012649
10465,0.175965741276741
10530,0.1900724470615387
409,0.1500874310731887
790,0.1345557570457458
4006,0.1721026003360748
12005,0.169974535703659
20007,0.1813824474811554
22008,0.2048432826995849
38002,0.180300161242485
39008,0.1935659050941467
59002,0.1898452192544937
