num_episodes,R_avg_tot,R_avg_curr
277,0.0470247641205787,tensor(0.0735)
522,0.0773774981498718,tensor(-0.1953)
784,0.0972593203186988,tensor(-0.1154)
1606,0.0972593203186988,tensor(0.0904)
1872,0.0867883935570716,tensor(0.1040)
272,0.0470247641205787,tensor(0.0733)
547,0.0773774981498718,tensor(0.0752)
273,0.0773774981498718,tensor(0.0736)
547,0.0470247641205787,tensor(0.0716)
833,0.0773774981498718,tensor(0.0722)
3037,0.0773774981498718,tensor(0.0467)
6035,0.0773774981498718,tensor(0.0549)
9874,0.1171411350369453,tensor(0.0928)
10139,0.11714113503694534,tensor(0.2205)
