num_episodes,R_avg_tot,R_avg_curr
126,0.0547247156500816,tensor(0.0906)
241,0.0524294376373291,tensor(0.1025)
340,0.0931678488850593,tensor(0.1125)
432,0.090104304254055,tensor(0.1102)
527,0.0508491098880767,tensor(0.1154)
622,0.0707293823361396,tensor(0.1266)
705,0.1674701869487762,tensor(0.1397)
797,0.1282727420330047,tensor(0.1481)
890,0.0905608981847763,tensor(0.1597)
967,0.1059605479240417,tensor(0.1672)
1047,0.1777085959911346,tensor(0.1695)
2003,0.1694787442684173,tensor(0.2670)
2045,0.1197468414902687,tensor(0.2689)
3030,0.1662688255310058,tensor(0.3234)
4013,0.1762095242738723,tensor(0.3412)
4040,0.1740355640649795,tensor(0.3409)
5006,0.173125222325325,tensor(0.3411)
5032,0.1697559654712677,tensor(0.3414)
6010,0.1717201024293899,tensor(0.3702)
6030,0.1752748489379882,tensor(0.3691)
7007,0.1711349636316299,tensor(0.3693)
7026,0.1718102693557739,tensor(0.3684)
7049,0.1745688170194625,tensor(0.3664)
8002,0.1693776696920395,tensor(0.3493)
8023,0.1716290116310119,tensor(0.3492)
8046,0.1774765998125076,tensor(0.3492)
9001,0.1759834289550781,tensor(0.3571)
9042,0.17460568249225616,tensor(0.3615)
