num_episodes,R_avg_tot,R_avg_curr
438,0.0736932009458541,tensor(0.1489)
483,0.0689700171351432,tensor(0.1809)
900,0.0874341875314712,tensor(0.1703)
938,0.0690833702683448,tensor(0.1791)
5031,0.0985125228762626,tensor(0.3274)
6029,0.0907391309738159,tensor(0.3831)
8036,0.1123564764857292,tensor(0.4450)
15020,0.1206797733902931,tensor(0.6325)
16025,0.1177191063761711,tensor(0.6647)
17028,0.1311841011047363,tensor(0.6605)
23017,0.1336157619953155,tensor(0.7433)
24004,0.1343188136816024,tensor(0.7499)
29014,0.1338047385215759,tensor(0.7770)
47038,0.1407392174005508,tensor(0.8012)
69013,0.1316881328821182,tensor(0.7967)
70026,0.1364831328392028,tensor(0.7913)
84006,0.0767509117722511,tensor(0.6050)
90036,0.1322948932647705,tensor(0.8042)
100038,0.1342079192399978,tensor(0.7929)
111018,0.1332493126392364,tensor(0.8087)
126023,0.1335183531045913,tensor(0.7945)
135020,0.1325755417346954,tensor(0.8031)
143006,0.1269907504320144,tensor(0.7997)
158002,0.1303578019142151,tensor(0.7992)
166026,0.1364205628633499,tensor(0.8025)
174045,0.1332276314496994,tensor(0.7972)
182049,0.1327762305736541,tensor(0.8053)
191039,0.1291020959615707,tensor(0.7967)
200010,0.131832554936409,tensor(0.7971)
208011,0.1363754719495773,tensor(0.8009)
216009,0.1317244470119476,tensor(0.8011)
224044,0.1310438364744186,tensor(0.8004)
233044,0.1282302737236023,tensor(0.7983)
241049,0.1360223144292831,tensor(0.8022)
265015,0.1329220831394195,tensor(0.7990)
273022,0.1322329640388488,tensor(0.7987)
281014,0.1291966140270233,tensor(0.7950)
289032,0.1372715830802917,tensor(0.7941)
314029,0.1324172019958496,tensor(0.7947)
323041,0.1337035000324249,tensor(0.7986)
330005,0.1336716562509536,tensor(0.7966)
339005,0.1383284479379654,tensor(0.8039)
347043,0.1380403637886047,tensor(0.8072)
355030,0.1297506541013717,tensor(0.8042)
370039,0.1297798454761505,tensor(0.8036)
379048,0.1392248570919037,tensor(0.7908)
400043,0.1337123215198516,tensor(0.8050)
408007,0.1342368423938751,tensor(0.8035)
409047,0.1277755498886108,tensor(0.7953)
429005,0.1282209157943725,tensor(0.7955)
440005,0.1372281461954116,tensor(0.8090)
441022,0.131410002708435,tensor(0.7986)
444044,0.1361180245876312,tensor(0.8017)
455001,0.1246368736028671,tensor(0.8037)
467026,0.136146530508995,tensor(0.7969)
468001,0.1283310353755951,tensor(0.8005)
479040,0.1363856494426727,tensor(0.7996)
483042,0.1301675587892532,tensor(0.7982)
492025,0.1340906023979187,tensor(0.7956)
501049,0.1367619037628173,tensor(0.8050)
531003,0.1299353390932083,tensor(0.8024)
561010,0.1369247734546661,tensor(0.7979)
585048,0.1357017308473587,tensor(0.8073)
587045,0.1325942128896713,tensor(0.7965)
589048,0.1302688717842102,tensor(0.8007)
590014,0.13257597386837,tensor(0.8008)
591043,0.1323574632406234,tensor(0.8025)
592046,0.1298138946294784,tensor(0.8053)
607020,0.1343974769115448,tensor(0.8036)
620027,0.1323868036270141,tensor(0.8092)
658037,0.1453292369842529,tensor(0.8010)
659004,0.1309690773487091,tensor(0.8119)
660008,0.1468085348606109,tensor(0.8173)
673021,0.1496085375547409,tensor(0.8002)
684025,0.1445732414722442,tensor(0.8063)
687042,0.1417803019285202,tensor(0.8036)
701038,0.142572671175003,tensor(0.8057)
713008,0.1384555399417877,tensor(0.7961)
720012,0.1508496105670929,tensor(0.8061)
737012,0.157931700348854,tensor(0.8098)
738027,0.1562640219926834,tensor(0.8002)
739022,0.15262866020202637,tensor(0.8079)
