num_episodes,R_avg_tot,R_avg_curr
510,0.0786900445818901,tensor(0.1169)
1017,0.0907671824097633,tensor(0.1273)
516,0.1065685600042343,tensor(0.1565)
1031,0.1969547718763351,tensor(0.1866)
2039,0.2778978943824768,tensor(0.2689)
9662,0.5176247358322144,tensor(0.6940)
517,0.10969790071249,tensor(0.1455)
1012,0.2069547474384308,tensor(0.1626)
2039,0.276797890663147,tensor(0.2622)
676,0.1853468567132949,tensor(0.1741)
689,0.237441748380661,tensor(0.1933)
2004,0.3606154918670654,tensor(0.3246)
28043,0.5110654830932617,tensor(0.6797)
32038,-0.6434974074363708,tensor(0.6891)
36032,0.501555323600769,tensor(0.6820)
55666,0.5614776015281677,tensor(0.7614)
56351,0.5613612532615662,tensor(0.8236)
