num_episodes,R_avg_tot,R_avg_curr
688,0.0748216733336448,tensor(0.1582)
1378,0.0870442017912864,tensor(0.1659)
700,-2.035929679870605,tensor(-0.4962)
1399,-2.821054697036743,tensor(-0.3425)
808,-3.7465298175811768,tensor(-0.9367)
3823,-12.09157371520996,tensor(-0.3096)
4590,-16.49371337890625,tensor(-0.0813)
510,-1.3949942588806152,tensor(0.1229)
986,-1.0112019777297974,tensor(0.1490)
14023,-5.364060401916504,tensor(0.5413)
14418,-6.521963119506836,tensor(0.5699)
14855,-7.555676937103271,tensor(0.6252)
531,0.1194322407245636,tensor(0.1381)
992,0.0670089200139045,tensor(0.1580)
2730,-0.0514176487922668,tensor(0.3171)
3136,-0.0860293060541153,tensor(0.3559)
699,0.1379254013299942,tensor(0.1914)
1413,0.11778347939252853,tensor(0.2744)
