num_episodes,R_avg_tot,R_avg_curr
745,0.0956951156258583,tensor(0.1743)
1504,0.1034567505121231,tensor(0.1904)
778,-2.106366872787476,tensor(-0.5056)
1541,-3.3290302753448486,tensor(-0.2965)
750,-4.731630802154541,tensor(-0.9936)
1501,-6.72566032409668,tensor(-0.8421)
2243,-7.995541572570801,tensor(-0.6087)
568,-0.7372496128082275,tensor(0.1183)
2046,-1.7499842643737793,tensor(0.2129)
3828,-4.173987865447998,tensor(0.3860)
4254,-4.082826614379883,tensor(0.4406)
761,0.0774426907300949,tensor(0.2338)
1511,0.02337327040731907,tensor(0.3005)
