num_episodes,R_avg_tot,R_avg_curr
677,0.0789450332522392,tensor(0.1418)
1358,0.0905016213655471,tensor(0.1614)
669,-1.2349975109100342,tensor(-0.5299)
2029,-3.949631452560425,tensor(-0.2860)
4036,-11.828622817993164,tensor(0.0425)
19026,-28.519275665283203,tensor(0.3492)
36033,-23.94340133666992,tensor(0.3782)
38080,-0.3542274832725525,tensor(0.4626)
38754,-0.4131022095680237,tensor(0.6503)
807,-3.729928731918335,tensor(-0.9760)
2308,-7.169571876525879,tensor(-0.7372)
3019,-9.043821334838867,tensor(-0.5462)
590,-0.414041131734848,tensor(0.1499)
5021,-6.227251529693604,tensor(0.4130)
483,0.0927138403058052,tensor(0.1245)
943,0.106584757566452,tensor(0.1535)
10045,-4.722750663757324,tensor(0.5776)
12669,0.3283155262470245,tensor(0.6371)
13080,-0.4639321267604828,tensor(0.6859)
684,0.1496594250202179,tensor(0.1975)
1364,0.1876758337020874,tensor(0.2763)
