num_episodes,R_avg_tot,R_avg_curr
1102,0.0786720812320709,tensor(0.2054)
2209,0.0916551128029823,tensor(0.2583)
1106,0.0955817252397537,tensor(0.2255)
1110,0.0917743295431137,tensor(0.2274)
1090,0.0833280086517334,tensor(0.2198)
2195,0.1041523814201355,tensor(0.2684)
1102,-2.1264750957489014,tensor(-0.3092)
2202,-2.393209934234619,tensor(0.0540)
1104,-5.457083702087402,tensor(-0.3408)
2214,-6.522992134094238,tensor(-0.0182)
743,-0.5875140428543091,tensor(0.1500)
1453,-1.7015022039413452,tensor(0.2147)
1094,0.1118051633238792,tensor(0.3602)
2196,0.13095474243164062,tensor(0.5091)
