num_episodes,R_avg_tot,R_avg_curr
708,0.1030871793627739,tensor(0.1679)
1450,0.0784920826554298,tensor(0.1803)
712,-1.9847973585128784,tensor(-0.5281)
2838,-6.87788724899292,tensor(0.0010)
3564,-11.358078002929688,tensor(0.2166)
720,-4.830381870269775,tensor(-1.1052)
10799,-42.00335311889648,tensor(-0.1104)
11529,-43.74634552001953,tensor(0.0865)
529,-0.5272804498672485,tensor(0.1382)
1017,-1.307409644126892,tensor(0.1538)
1483,-1.2911498546600342,tensor(0.1738)
2352,-1.963837742805481,tensor(0.2433)
720,0.0973987281322479,tensor(0.2076)
1465,0.10070271790027618,tensor(0.3059)
