num_episodes,R_avg_tot,R_avg_curr
1109,0.0833651423454284,tensor(0.2091)
1098,0.0786400735378265,tensor(0.2335)
1104,0.0829943343997001,tensor(0.2360)
1087,0.0745771303772926,tensor(0.2264)
1092,0.0960551798343658,tensor(0.2138)
1095,0.0789512544870376,tensor(0.2192)
1090,0.0834634155035018,tensor(0.2223)
1083,0.0828584283590316,tensor(0.2344)
2187,0.086994968354702,tensor(0.2901)
1120,0.0747329369187355,tensor(0.2196)
2215,0.0871044546365737,tensor(0.2691)
1113,0.0871952027082443,tensor(0.2337)
2204,0.0956950932741165,tensor(0.2766)
1093,0.0962617620825767,tensor(0.2126)
2201,0.09135636687278748,tensor(0.2846)
