num_episodes,R_avg_tot,R_avg_curr
326,0.2360121011734008,tensor(0.1143)
348,0.1585268527269363,tensor(0.1186)
673,0.1584784686565399,tensor(0.1131)
714,0.1831583529710769,tensor(0.1288)
1003,0.1898190975189209,tensor(0.1302)
1038,0.1578490436077118,tensor(0.1348)
4042,0.274385392665863,tensor(0.1774)
7022,0.5849456191062927,tensor(0.2297)
14007,0.6283588409423828,tensor(0.3246)
16048,0.7445237040519714,tensor(0.3286)
18013,0.8091333508491516,tensor(0.3587)
19020,0.6930977702140808,tensor(0.3947)
20026,0.7405318021774292,tensor(0.3824)
20048,0.7785620093345642,tensor(0.3810)
21015,0.7719649076461792,tensor(0.3737)
21037,0.7711323499679565,tensor(0.3732)
22015,0.7549816370010376,tensor(0.3797)
23027,0.7289690375328064,tensor(0.3873)
24026,0.665790855884552,tensor(0.3945)
25015,0.8118537664413452,tensor(0.3865)
25042,0.7800612449645996,tensor(0.3856)
26028,0.7297044396400452,tensor(0.4039)
27030,0.7957391142845154,tensor(0.4138)
28026,0.8368061780929565,tensor(0.3983)
29029,0.7716631889343262,tensor(0.4093)
30033,0.6990973353385925,tensor(0.4101)
31027,0.8764859437942505,tensor(0.4094)
31043,0.826107919216156,tensor(0.4065)
32019,0.8350323438644409,tensor(0.4027)
33019,0.8687661290168762,tensor(0.4087)
33041,0.8482645153999329,tensor(0.4077)
34023,0.7391887903213501,tensor(0.4036)
