num_episodes,R_avg_tot,R_avg_curr
29,0.2076386511325836,tensor(0.3945)
522,0.1607569009065628,tensor(0.1804)
550,0.1646275222301483,tensor(0.1814)
1006,0.0781492814421653,tensor(0.1877)
1022,0.2009852081537246,tensor(0.1853)
7048,0.1809805631637573,tensor(0.1352)
11002,0.3002386093139648,tensor(0.2422)
17006,0.1809682697057724,tensor(0.2585)
17029,0.2194456309080124,tensor(0.2584)
18002,0.2003187388181686,tensor(0.2255)
18028,0.1899396926164627,tensor(0.2262)
20029,0.3123617768287658,tensor(0.2004)
21000,0.2729612290859222,tensor(0.2327)
21017,0.247378870844841,tensor(0.2296)
22007,0.322397768497467,tensor(0.2644)
23038,0.4980127215385437,tensor(0.3855)
25049,0.5219711065292358,tensor(0.4759)
26881,0.6040048599243164,tensor(0.5092)
27030,0.630034327507019,tensor(0.5097)
27133,0.5926139950752258,tensor(0.5096)
