num_episodes,R_avg_tot,R_avg_curr
359,0.0803574323654174,tensor(0.1388)
408,0.0811405554413795,tensor(0.1641)
707,0.2722648382186889,tensor(0.1508)
737,0.2014268636703491,tensor(0.1547)
1044,0.2561466097831726,tensor(0.1462)
6010,0.4704082906246185,tensor(0.2227)
9012,0.5356178879737854,tensor(0.2781)
9049,0.6186993718147278,tensor(0.2808)
13010,0.5774733424186707,tensor(0.3430)
13044,0.4574246108531952,tensor(0.3462)
17017,0.7236059308052063,tensor(0.4086)
19000,0.6799681186676025,tensor(0.4098)
19038,0.7333120107650757,tensor(0.4115)
21012,0.7667661309242249,tensor(0.4221)
22006,0.7225143909454346,tensor(0.4263)
22037,0.6598242521286011,tensor(0.4250)
23011,0.7576519846916199,tensor(0.4302)
25026,0.7845127582550049,tensor(0.4370)
26022,0.809051513671875,tensor(0.4320)
27045,0.8557338714599609,tensor(0.4407)
28013,0.804541289806366,tensor(0.4295)
28047,0.8518332242965698,tensor(0.4301)
29007,0.8545658588409424,tensor(0.4516)
29038,0.8294292688369751,tensor(0.4488)
30009,0.7787723541259766,tensor(0.4474)
31032,0.7977171540260315,tensor(0.4453)
32030,0.9052693247795104,tensor(0.4533)
33013,0.8479514122009277,tensor(0.4460)
33040,0.8214607238769531,tensor(0.4457)
34040,0.9152102470397948,tensor(0.4468)
35008,0.8371538519859314,tensor(0.4460)
35038,0.8629961609840393,tensor(0.4418)
36006,0.8149833679199219,tensor(0.4356)
36038,0.8079224824905396,tensor(0.4352)
37010,0.8648861646652222,tensor(0.4345)
37034,0.8151637315750122,tensor(0.4343)
38008,0.8419728875160217,tensor(0.4353)
39037,0.8890366554260254,tensor(0.4542)
40018,0.8708149194717407,tensor(0.4544)
40044,0.7893208861351013,tensor(0.4524)
41040,0.7611017823219299,tensor(0.4422)
42024,0.8150317072868347,tensor(0.4545)
43012,0.7511003017425537,tensor(0.4357)
44002,0.7809756994247437,tensor(0.4383)
44043,0.8241013884544373,tensor(0.4381)
45024,0.7934004664421082,tensor(0.4467)
45679,0.8447220325469971,tensor(0.4473)
46032,0.8898555040359497,tensor(0.4517)
47026,0.8474214673042297,tensor(0.4505)
47392,0.8229923248291016,tensor(0.4603)
